191,350
68,472
384,335
364,234
9,402
294,374
115,260
268,386
445,362
200,479
75,384
278,19
20,309
449,384
256,144
74,136
87,89
80,366
238,210
206,403
328,18
75,146
393,278
181,84
21,188
313,206
361,31
317,178
86,428
280,265
8,119
296,312
156,317
320,101
464,257
435,252
182,464
308,100
207,42
171,195
86,347
376,141
318,457
36,320
422,462
492,181
463,407
223,9
355,14
416,298
266,31
138,365
465,134
238,233
427,95
55,102
275,41
346,224
33,69
347,431
155,223
145,243
37,243
409,189
467,137
196,266
408,345
343,227
346,63
203,482
125,25
368,386
58,102
369,299
17,48
348,455
283,144
340,111
312,72
160,10
304,50
313,53
2,443
434,120
359,405
399,221
340,213
87,295
120,484
471,500
143,260
298,109
294,228
264,211
218,434
329,470
170,96
493,381
222,303
411,456
86,320
6,33
198,234
68,474
288,81
407,157
300,46
424,230
256,236
351,331
459,346
349,436
362,84
500,319
398,472
481,335
76,134
199,223
220,417
417,205
24,447
435,378
273,265
471,25
101,280
102,422
62,140
499,145
210,141
340,223
193,247
203,30
129,69
176,460
284,228
69,93
441,54
191,38
273,136
5,98
386,452
456,475
440,318
62,439
46,139
499,96
119,250
96,349
201,324
358,234
462,203
298,484
139,176
312,172
182,20
10,60
213,333
6,384
193,96
25,452
331,169
238,28
167,419
190,53
148,362
198,206
86,74
17,311
21,197
212,394
71,387
291,54
151,330
210,456
454,197
123,156
81,166
108,276
136,376
385,94
11,221
349,190
425,404
353,80
328,331
314,483
276,143
185,56
467,348
403,388
338,57
305,381
262,498
347,421
449,314
498,175
334,133
433,97
376,91
303,170
436,252
240,44
57,500
7,243
241,411
138,16
144,136
30,276
211,144
137,164
255,416
493,147
112,366
453,382
87,440
150,146
31,103
385,88
214,351
406,431
165,139
60,49
138,23
36,5
127,477
102,217
55,494
91,296
135,275
320,397
425,437
15,22
266,145
359,99
280,88
115,381
132,245
471,229
482,12
325,162
211,270
105,262
93,374
121,97
312,236
272,56
57,332
443,264
318,195
445,463
128,160
361,139
91,87
93,403
170,364
494,457
212,500
440,22
71,422
481,442
424,86
17,308
283,324
393,351
43,176
171,215
365,175
472,53
325,371
95,324
116,17
195,190
173,95
325,437
203,480
377,184
219,374
305,47
303,339
193,101
240,385
247,27
108,400
192,100
364,175
480,474
162,262
133,103
243,413
360,32
248,126
18,487
373,186
229,303
149,247
346,432
402,246
403,306
169,37
256,338
394,73
367,377
12,261
211,435
203,327
239,256
467,413
382,72
186,410
82,393
306,385
105,485
20,481
46,468
441,83
379,164
185,200
343,68
56,111
426,299
16,75
377,316
2,232
469,107
363,252
117,139
220,211
275,116
41,416
177,91
446,173
275,278
270,372
424,163
238,366
388,64
241,12
234,369
206,89
347,367
25,37
14,17
441,294
151,245
287,217
271,374
13,143
387,1
324,407
455,223
432,199
77,196
441,259
273,139
349,407
500,456
125,222
55,157
356,235
263,163
312,35
29,53
358,245
70,353
29,281
455,444
51,223
11,219
222,297
148,34
8,489
366,19
277,234
99,398
59,492
91,469
73,209
299,272
234,368
344,196
150,172
187,467
48,394
392,225
30,197
494,482
368,397
152,469
41,470
257,212
107,431
41,204
370,9
197,65
139,1
377,92
337,139
125,303
217,497
216,436
301,85
274,115
183,108
302,229
5,53
459,480
118,269
109,438
145,428
323,72
308,231
13,342
19,47
111,331
13,125
366,45
97,127
268,189
116,173
221,450
278,310
11,177
135,143
151,50
100,102
369,98
17,406
212,417
324,300
62,43
20,68
132,261
161,488
117,32
470,362
240,372
317,236
120,27
355,446
64,310
62,145
23,261
32,48
341,65
424,227
337,431
